Site,Date,Block,Treatment,Time,Weather,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,2024/06/25,A,NPK_DIST,11:05:52,Sunny / warm,Single,1,4384,96,2048,2432,3,2049,13063,2000000,40000,0,40000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:05:54,Sunny / warm,Video,31,4384,96,2048,2432,3,2051,513311,2000000,40000,0,40000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:06:25,Sunny / warm,Single,1,4384,96,2048,2432,3,2081,516283,2000000,60000,0,60000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:06:27,Sunny / warm,Video,38,4384,96,2048,2432,3,2084,16531,2000000,60000,0,60000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:08:42,Sunny / warm,Single,1,4384,96,2048,2432,3,2219,29928,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:08:45,Sunny / warm,Video,26,4384,96,2048,2432,3,2221,530177,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:09:19,Sunny / warm,Single,1,4384,96,2048,2432,3,2256,33602,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:09:22,Sunny / warm,Video,25,4384,96,2048,2432,3,2259,33900,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:09:56,Sunny / warm,Single,1,4384,96,2048,2432,3,2293,37275,2000000,30000,0,30000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:09:58,Sunny / warm,Video,25,4384,96,2048,2432,3,2295,37473,2000000,30000,0,30000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:10:55,Sunny / warm,Single,1,4384,96,2048,2432,3,2351,43033,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:10:58,Sunny / warm,Video,28,4384,96,2048,2432,3,2355,43430,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
